t u y
0 0 0
0.002 0 0
0.004 0 0
0.006 0 0
0.008 0 0
0.01  0 0
0.012 0 0
0.014 0 0
0.016 0 0
0.018 0 0
0.02  0 0
0.022 0 0
0.024 0 0
0.026 0 0
0.028 0 0
0.03  0 0
0.032 0 0
0.034 0 0
0.036 0 0
0.038 0 0
0.04  0 0
0.042 0 0
0.044 0 0
0.046 0 0
0.048 0 0
0.05  0 0
0.052 0 0
0.054 0 0
0.056 0 0
0.058 0 0
0.06  0 0
0.062 0 0
0.064 0 0
0.066 0 0
0.068 0 0
0.07  0 0
0.072 0 0
0.074 0 0
0.076 0 0
0.078 0 0
0.08  0 0
0.082 0 0
0.084 0 0
0.086 0 0
0.088 0 0
0.09  0 0
0.092 0 0
0.094 0 0
0.096 0 0
0.098 0 0
0.1 1 0
0.102 1 0.0189243027888446
0.104 1 0.0687250996015936
0.106 1 0.144422310756972
0.108 1 0.23605577689243
0.11  1 0.338645418326693
0.112 1 0.447211155378486
0.114 1 0.554780876494024
0.116 1 0.659362549800797
0.118 1 0.756972111553785
0.12  1 0.845617529880478
0.122 1 0.924302788844621
0.124 1 0.99003984063745
0.126 1 1.04482071713147
0.128 1 1.08764940239044
0.13  1 1.1195219123506
0.132 1 1.14143426294821
0.134 1 1.15338645418327
0.136 1 1.15836653386454
0.138 1 1.15637450199203
0.14  1 1.14840637450199
0.142 1 1.13645418326693
0.144 1 1.12250996015936
0.146 1 1.10557768924303
0.148 1 1.08764940239044
0.15  1 1.0707171314741
0.152 1 1.05278884462151
0.154 1 1.03685258964143
0.156 1 1.02191235059761
0.158 1 1.00896414342629
0.16  1 0.99800796812749
0.162 1 0.989043824701195
0.164 1 0.98207171314741
0.166 1 0.976095617529881
0.168 1 0.973107569721115
0.17  1 0.970119521912351
0.172 1 0.969123505976096
0.174 1 0.970119521912351
0.176 1 0.971115537848606
0.178 1 0.973107569721115
0.18  1 0.975099601593625
0.182 1 0.97808764940239
0.184 1 0.981075697211155
0.186 1 0.983067729083665
0.188 1 0.98605577689243
0.19  1 0.989043824701195
0.192 1 0.991035856573705
0.194 1 0.99402390438247
0.196 1 0.995019920318725
0.198 1 0.997011952191235
0.2 1 0.99800796812749
0.202 1 0.999003984063745
0.204 1 1
0.206 1 1
0.208 1 1
0.21  1 1
0.212 1 1
0.214 1 1
0.216 1 1
0.218 1 1
0.22  1 1
0.222 1 1
0.224 1 1
0.226 1 1
0.228 1 1
0.23  1 1
0.232 1 1
0.234 1 1
0.236 1 1
0.238 1 1
0.24  1 1
0.242 1 1
0.244 1 1
0.246 1 1
0.248 1 1
0.25  1 1
